"* Required Fields","* pakollinen"
"Priority","Tärkeys"
"Read More","Lue lisää"
"ReCAPTCHA Private Key","ReCAPTCHA yksityinen avain"
"ReCAPTCHA Public Key","ReCAPTCHA julkinen avain"
"ReCAPTCHA","ReCAPTCHA "
"Recent Posts","Viimeisimmät kirjoitukset"
"Related post","Samankaltaiset viestit"
"Relative to current skin directory, e.g. images/rsslogo.jpg","Suhteellinen käytössä olevaan ulkoasuhakemistoon. Esim. images/rsslogo.jpg"
"Return to","Palauta kohteeseen"
"Route to Blog","Polku blogiin"
"RSS Feed Image","RSS-syötteen kuva"
"RSS Feed","RSS-syöte"
"RSS Posts to Show","Näytettävien RSS-viestien määrä"
"Save And Continue Edit","Tallenna ja jatka muokkausta"
"Save Category","Tallenna luokka"
"Save Comment","Tallenna kommentti"
"Save Post","Tallenna viesti"
"Send Emails to","Kenelle sähköpostit lähetetään"
"Short Content","Lyhyt kuvaus"
"Short","Lyhyt"
"Show Bookmarks in Lists","Näytä kirjanmerkit luetteloissa"
"Show Bookmarks in Posts","Näytä kirjanmerkit viesteissä"
"Show Breadcrumbs","Näytä osoitepolku"
"SKU","Tuotenumero"
"Sort Order","Järjestys"
"Status","Tila"
"Store View","Kauppanäkymä"
"Submit Comment","Lisää kommentti"
"Summary Character Count","Yhteenvedon merkkien määrä"
"Tagged with "%s"","Merkitty asiasanalla "%s""
"Tags to Display","Näytä asiasanat"
"tags","asiasanat"
"Tags","Asiasanat"
"The number of recent post to be displayed in the menu. 0 to disable.","Valikossa näytettävien viimeisimpien viestien määrä. 0 on pois käytöstä."
"The number of tags to display in tag cloud. 0 disables tag cloud","Asiasanapilvessä näytettävien asiasanojen määrä. 0 ei näytä asiasanapilveä."
"The number posts displayed per page. 0 to disable pages.","Näytettävien viestien määrä per sivu. 0 kytkee pois sivut."
"The requested page could not be found","Pyydettyä sivua ei löydy"
"Title","Nimi"
"to log in","kirjautuaksesi sisään"
"Total of %d comment(s) were successfully approved","Yhteensä %d kommenttia on hyväksytty"
"Total of %d comment(s) were successfully unapproved","Yhteensä %d kommenttia on poistettu näkyvistä"
"Total of %d record(s) were successfully updated","Yhteensä %d tietuetta on päivitetty"
"Unable to find category to save","Tallennettavaa luokkaa ei löydy"
"Unable to find comment to save","Tallennettavaa kommenttia ei löydy"
"Unable to find post to save","Tallennettavaa viestiä ei löydy"
"Unapprove","Poista näkyvistä"
"Unapproved","Hyväksymätön"
"Updated at","Päivitetty"
"Use Categories ID in Posts URLs","Käytä luokkien tunnistetta viestien osoitteissa"
"Use comma as separator","Erota asiasanat pilkuilla"
"Use Short Content Field","Käytä Lyhyt kuvaus -kenttää"
"Use space or comma as separators","Käytä välilyöntiä tai pilkkua erottajina"
"User","Käyttäjä"
"Valid values range from 0.0 to 1.0","Sallitut arvot välillä 0.0 - 1.0"
"View","Näytä"
"XML","XML"
"Yes, all pages","Kyllä, kaikki sivut"
"Yes, only blog page","Kyllä, vain blogisivu"
"You must be logged in to comment.","Sinun täytyy kirjautua voidaksesi kirjoittaa kommentin."
"You must be logged in to post a comment.","Sinun täytyy kirjautua voidaksesi kirjoittaa kommentin."
"Your comment has been submitted and is awaiting approval.","Kommentti on lähetetty tarkastettavaksi."
"Your comment has been submitted.","Kommentti on lähetetty."
"Your Recaptcha solution was incorrect, please try again","Kirjoittamassasi Recaptcha -varmennuksessa oli virhe. Yritä uudestaan."
"Blog","Blogi"
"Blog Settings","Blogin asetukset"
"Blog Title","Blogin otsikko"
"Comma-separated","Erotetaan pilkuilla"
"Created on","Lisätty"
"Date Format","Päivämäärän muoto"
"Default Posts Sorting","Viestien oletusjärjestys"
"Disabling will close the post to new comments","Pois kytkeminen sulkee viestin uusilta kommenteilta"
"eg. ""news"" will make the blog accessible from domain.com/news. Must not contain any slashes. Blank for default","esim. ""uutiset"" ohjaa blogiin osoitteesta palvelin.fi/uutiset. Älä käytä vinoviivoja. Tyhjä on oletus."
"Go to <a href="http://www.google.com/recaptcha/whyrecaptcha">http://www.google.com/recaptcha/whyrecaptcha</a> to get keys","Nouda avaimet osoitteesta <a href="http://www.google.com/recaptcha/whyrecaptcha">http://www.google.com/recaptcha/whyrecaptcha</a>"
"I'd like to be informed by aheadWorks about:","Ilmoita seuraavista aheadWorks -tuotteista:"
"Installed aheadWorks Extensions","Asennetut aheadWorks -laajennukset"
"Leave blank to use current user name","Tyhjänä käytetään käyttäjätunnusta"
"Route to Blog","Polku blogiin"
"Full","Täysi"
"Short","Lyhyt"
"Long","Pitkä"
"Medium","Keskipitkä"
"Show Breadcrumbs","Näytä osoitepolku"
"Summary Character Count","Yhteenvedon merkkien määrä"
"Number of characters in a post to display before it is truncated and the read more link added. 0 for Unlimited.","Viestin näytettävien merkkien määrä ennenkuin se lyhennetään ja lisätään Lue lisää -linkki. 0 on rajoittamaton."
"If turned on additional ""short content field"" will be taken instead of truncated main post.","Jos ""lyhyt kuvaus"" -kenttä otetaan käyttöön, käytetään sitä sen sijaan että lyhennettäisiin viestiä."
"Parse CMS tags in post contents","Jäsennä CMS asiasanat viesteissä"
"Posts Per Page","Viestejä per sivu"
"The number posts displayed per page. 0 to disable pages.","Näytettävien viestien määrä per sivu. 0 kytkee pois sivut."
"Use categories id in posts URLs","Käytä luokkien tunnistetta viestien osoitteissa"
"Show Bookmarks in Lists","Näytä kirjanmerkit luetteloissa"
"Show Bookmarks in Posts","Näytä kirjanmerkit viesteissä"
"Enable Left Menu","Ota käyttöön vasemmassa valikossa"
"Enable Right Menu","Ota käyttöön oikeassa valikossa"
"Menus and Links","Valikot ja linkit"
"Enable Footer Link","Ota käyttöön alatunnisteessa"
"Enable Top Link","Ota käyttöön ylätunnisteessa"
"Recent Posts","Viimeisimmät kirjoitukset"
"The number of recent post to be displayed in the menu. 0 to disable.","Valikossa näytettävien viimeisimpien viestien määrä. 0 on pois käytöstä."
"Enable Categories menu","Ota käyttöön luokat -valikko"
"Tags to display","Näytä asiasanat"
"The number of tags to display in tag cloud. 0 Will disable tag cloud","Asiasanapilvessä näytettävien asiasanojen määrä. 0 on pois käytöstä."
"Enable Comments","Ota käyttöön kommentit"
"Login Required to Comment","Kommentointiin vaaditaan sisäänkirjautuminen"
"Auto Approve Comments","Hyväksy kommentit automaattisesti"
"All comments will appear immediately without the need for approval by admin.","Kaikki kommentit julkaistaan välittömästi ilman ylläpidon hyväksymistä."
"Logged in Auto Approve Comments","Hyväksy sisäänkirjautuneiden kommentit automaattisesti"
"Only comments made by users that are logged in will automaticlly be approved.","Vain sisäänkirjautuneiden kommentit hyväksytään automaattisesti."
"Comments per page","Kommentteja per sivu"
"Enable ReCAPTCHA","Ota käyttöön ReCAPTCHA"
"Go to http://recaptcha.net/api/getkey to get keys","Nouda avaimet osoitteesta http://recaptcha.net/api/getkey"
"ReCAPTCHA Public Key","ReCAPTCHA julkinen avain"
"ReCAPTCHA Private Key","ReCAPTCHA yksityinen avain"
"Enable Blog RSS Feed","Ota käyttöön blogin RSS-syöte"
"RSS Feed Image","RSS-syötteen kuva"
"RSS Posts to Show","Näytettävien RSS-viestien määrä"
"Number of post to display in the RSS feed.","RSS-syötteessä näytettävien viestien määrä."
"Featured Products","Mainostettavat tuotteet"
"View details","Näytä lisätiedot"
"New products","Uudet tuotteet"
"My extensions updates","Asennettujen laajennusten päivitykset"
"All extensions updates","Kaikkien laajennusten päivitykset"
"New Releases","Uudet laajennukset"
