"Rate 1 Ship To Applicable Countries","Rate 1 Ship To Applicable Countries"
"Rate 1 Ship to Specific Countries","Rate 1 Ship to Specific Countries"
"Rate 1 Title","Rate 1 Title"
"Rate 2 Amount","Rate 2 Amount"
"Rate 2 Ship To Applicable Countries","Rate 2 Ship To Applicable Countries"
"Rate 2 Ship to Specific Countries","Rate 2 Ship to Specific Countries"
"Rate 2 Title","Rate 2 Title"
"Rate 3 Amount","Rate 3 Amount"
"Rate 3 Ship To Applicable Countries","Rate 3 Ship To Applicable Countries"
"Rate 3 Ship to Specific Countries","Rate 3 Ship to Specific Countries"
"Rate 3 Title","Rate 3 Title"
"Required for live Google Checkout transactions. Make sure that this option corresponds to Use Secure URLs in Frontend (""Web"" > ""Secure"").","Pakollinen sähköisissä Google lompakko maksuissa. Varmista että tämä valinta täsmää asetuksen Käytä salattuja URL-osoitteita kanssa kaupan puolella (''''Internet'''' > ''''Turvallisuus'''')."
"Residential","Koti"
"Sandbox","Testiympäristö"
"Secure Callback URL","Secure Callback URL"
"Small - %s","Pieni - %s"
"Standard Overnight","Normaali yön yli"
"The tax amount has been applied based on the information received from Google Checkout, because tax amount received from Google Checkout is different from the calculated tax amount","Veron määrä perustuu Google-maksusta haettuun tietoon koska se erosi lasketusta veron määrästä."
"Title","Nimi"
"Total Chargeback: %s","Takaisinmaksun loppusumma: %s"
"Total Charged: %s","Yhteensä veloitettu: %s"
"Total Refunded: %s","Yhteensä hyvitetty: %s"
"Transparent","Läpinäkyvä"
"UPS","UPS"
"USPS","USPS"
"United Kingdom","Iso-Britannia"
"United States","Yhdysvallat"
"Unknown Reason","Tuntematon syy"
"White Background","Valkoinen tausta"
"Yes","Kyllä"
"You will be redirected to GoogleCheckout in a few seconds.","Sinut ohjataan Google-lompakkoon muutaman sekunnin kuluessa."
"Add","Lisää"
"Remove","Poista"
"Required for live Google Checkout transactions.","Pakollinen sähköisissä Google lompakko maksuissa."
